Time (seconds),Conductivity (mS),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
296.56867027282715,13.54094448468543,21,499.51171875,723.5
297.5624010562897,13.47425043977649,21,496.2890625,724.0
298.5711627006531,13.507597462230962,21,502.734375,724.3
299.56481862068176,13.47425043977649,21,483.3984375,724.7
300.57225728034973,13.507597462230962,21,483.3984375,725.1
301.5657386779785,13.741026619412253,21,473.73046875,725.4
302.5740728378296,13.507597462230962,21,480.17578125,725.8
303.56754779815674,13.607638529594372,21,464.0625,726.2
304.57567381858826,13.807720664321192,21,467.28515625,726.6
305.56902837753296,13.640985552048843,21,402.83203125,727.1
306.5784606933594,13.741026619412253,21,373.82812499999994,727.3
307.5716338157654,13.67433257450331,21,438.28125,727.7
308.56534361839294,13.67433257450331,21,435.05859375,728.2
309.57461166381836,13.774373641866724,21,464.0625,728.5
310.5671319961548,13.507597462230962,21,428.61328125,728.9
311.57571268081665,13.507597462230962,21,435.05859375,729.3
312.56837487220764,13.741026619412253,21,389.94140624999994,729.7
313.57779932022095,13.707679596957782,21,415.72265625,730.1
314.5720112323761,13.44090341732202,21,412.5,730.4
315.58363580703735,13.741026619412253,21,406.0546875,730.8
316.57773447036743,13.67433257450331,21,389.94140624999994,731.2
317.58571696281433,13.941108754139073,21,399.609375,731.6
318.5820994377136,13.507597462230962,14,406.0546875,732.1
319.58268427848816,13.707679596957782,20,377.05078124999994,732.3
320.5812454223633,14.174537911320364,21,389.94140624999994,732.7
321.5844085216522,13.741026619412253,21,396.38671875,733.2
322.5777630805969,13.5742915071399,21,412.5,733.5
323.57180976867676,13.807720664321192,24,396.38671875,733.9
324.5791895389557,13.774373641866724,21,431.8359375,734.3
325.57368755340576,13.67433257450331,21,431.8359375,734.7
326.5809876918793,13.974455776593544,21,447.94921875,735.1
327.57515025138855,13.640985552048843,21,438.28125,735.4
328.5827066898346,13.640985552048843,21,444.7265625,735.8
329.5764102935791,13.907761731684602,21,447.94921875,736.2
330.58499455451965,13.67433257450331,21,435.05859375,736.5
331.5835599899292,13.774373641866724,21,460.83984375,736.9
332.59303522109985,13.67433257450331,21,480.17578125,737.3
333.5847656726837,13.841067686775663,21,464.0625,737.7
334.58902764320374,14.441314090956126,21,470.5078125,738.2
335.58335041999817,13.47425043977649,21,496.2890625,738.5
336.5756103992462,13.874414709230134,22,499.51171875,738.9
337.583749294281,12.607227855960264,21,502.734375,739.3
338.57733154296875,13.507597462230962,21,489.84375,739.6
339.5911810398102,13.807720664321192,22,499.51171875,740.0
340.5795793533325,13.67433257450331,22,489.84375,740.4
341.58761715888977,13.807720664321192,21,489.84375,740.7
342.5820767879486,13.707679596957782,21,489.84375,741.1
343.5895836353302,13.707679596957782,22,499.51171875,741.5
344.5828764438629,13.67433257450331,21,496.2890625,741.9
345.59164547920227,13.5742915071399,22,496.2890625,742.3
346.5855143070221,12.507186788596854,21,502.734375,742.6
347.59386372566223,13.707679596957782,21,502.734375,743.0
348.58725905418396,12.507186788596854,21,499.51171875,743.4
349.5795886516571,13.874414709230134,22,499.51171875,743.8
350.5891926288605,13.107433192777318,21,499.51171875,744.3
