Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g),Stage number
269.1804829,7.838603645,21.81825638,454.3945313,73.9,1
270.191828,8.305461959,21.91230059,467.2851563,74.3,1
271.1849837,8.072032802,21.83870077,496.2890625,74.7,1
272.1943378,8.138726847,21.80598974,480.1757813,75,1
273.1874516,7.438439376,21.84278965,483.3984375,75.2,1
274.1820073,8.405503027,21.83052301,486.6210938,75.6,1
275.1893954,8.03868578,21.81825638,422.1679688,76,1
276.1889086,7.63852151,21.78963423,509.1796875,76.2,1
277.199883,7.90529769,22.25576639,496.2890625,76.6,1
278.1820846,7.371745331,22.28029966,509.1796875,76.9,1
279.1865311,8.138726847,22.25576639,476.953125,77.2,1
280.1863921,8.238767914,21.81825638,464.0625,77.6,1
281.1890006,7.538480443,21.82643414,476.953125,78,1
282.1859403,8.138726847,21.93683386,483.3984375,78.3,1
283.1930249,8.105379825,21.76101208,483.3984375,78.6,1
284.1874049,7.838603645,22.30892181,470.5078125,79,1
285.1781013,7.738562578,16.53951406,489.84375,79.2,1
286.1894186,8.272114937,22.235322,486.6210938,79.6,1
287.1930268,8.372156004,21.84687853,505.9570313,80,1
288.1999867,7.971991735,21.55656815,489.84375,80.4,1
289.1803551,8.338808982,22.30074406,470.5078125,80.6,1
290.188674,7.405092353,22.27621078,505.9570313,81,1
291.1953855,7.63852151,21.88367844,483.3984375,81.4,1
292.1986225,8.105379825,21.8714118,502.734375,81.6,1
293.1881425,8.272114937,22.32936621,502.734375,82,1
294.1988215,8.138726847,22.30074406,489.84375,82.3,1
295.1898954,8.338808982,21.82643414,522.0703125,82.6,1
296.2008765,8.03868578,26.177001,489.84375,83,1
297.1926651,8.372156004,21.90003395,496.2890625,83.4,1
298.186429,8.438850049,21.87958956,460.8398438,83.6,1
299.1927352,8.205420892,21.86323404,454.3945313,84,1
300.2048018,8.138726847,26.32011175,464.0625,84.4,1
301.2014837,8.338808982,21.81825638,476.953125,84.6,1
302.1986537,8.238767914,21.85505629,473.7304688,84.9,1
303.2033002,8.272114937,21.82234526,451.171875,85.3,1
304.1855862,8.272114937,21.90412283,464.0625,85.6,1
305.1954305,8.238767914,21.92047834,480.1757813,86,1
306.1923528,8.105379825,21.87550068,493.0664063,86.3,1
307.2022238,8.005338757,20.48937082,509.1796875,86.6,1
308.1976452,8.238767914,21.83870077,496.2890625,86.9,1
309.1983886,8.238767914,21.89594507,496.2890625,87.3,1
310.1912639,8.072032802,21.91230059,522.0703125,87.6,1
311.1844449,7.805256623,21.92047834,496.2890625,87.9,1
312.1991277,8.138726847,21.8714118,515.625,88.3,1
313.1933193,9.239178588,22.32527733,512.4023437,88.6,1
314.200078,8.17207387,22.67283201,522.0703125,88.9,1
315.1963105,7.438439376,21.91638947,515.625,89.3,1
316.2092059,8.405503027,21.89594507,525.2929688,89.6,1
317.1946642,8.538891117,21.85096741,525.2929688,89.9,1
318.20333,8.538891117,21.95727825,502.734375,90.3,1
319.191608,7.838603645,21.87958956,534.9609375,90.6,1
320.2039275,7.371745331,21.83461189,531.7382813,90.9,1
321.1974778,8.238767914,21.94092274,518.8476563,91.3,1
322.2064261,8.338808982,21.87550068,518.8476563,91.7,1
323.1956379,8.305461959,22.32936621,518.8476563,92,1
324.1895809,8.272114937,22.35798836,525.2929688,92.3,1
325.1999326,8.205420892,21.87958956,522.0703125,92.6,1
326.1966238,8.205420892,21.88776731,525.2929688,92.9,1
327.2043452,8.338808982,21.92456722,493.0664063,93.3,1
328.1926248,8.438850049,21.90412283,525.2929688,93.6,1
329.2014391,8.205420892,21.88776731,522.0703125,94,1
330.198245,8.272114937,21.84687853,525.2929688,94.3,1
331.2180641,8.272114937,21.94092274,528.515625,94.6,1
332.199579,8.272114937,21.87550068,518.8476563,95,1
333.2071443,8.272114937,22.38661051,509.1796875,95.2,1
334.2042837,8.272114937,23.62962961,522.0703125,95.6,1
335.2070811,8.305461959,22.32936621,528.515625,96,1
336.1997755,7.938644712,21.88367844,525.2929688,96.2,1
337.1943171,7.871950667,22.39069939,528.515625,96.6,1
338.2024736,8.772320274,23.04900885,525.2929688,97,1
339.1959195,8.305461959,22.29665518,589.7460938,97.2,1
340.2031476,8.338808982,21.89594507,518.8476563,97.6,1
341.2043486,8.572238139,22.36616611,522.0703125,98,1
342.2084105,8.705626229,21.89594507,515.625,98.3,1
343.2121565,8.305461959,22.40296602,512.4023437,98.6,1
344.2161243,7.605174488,21.93683386,528.515625,99,1
345.1997609,8.638932184,21.94910049,525.2929688,99.2,1
346.2087941,8.238767914,21.91638947,515.625,99.6,1
347.2052824,8.405503027,21.97363377,528.515625,99.9,1
348.2159927,8.072032802,22.36207724,528.515625,100.2,1
349.2115657,8.505544094,21.90412283,512.4023437,100.5,1
350.2189364,8.138726847,21.89594507,528.515625,100.9,1
351.2105484,8.572238139,21.91638947,528.515625,101.2,1
352.2061844,8.405503027,22.35389948,534.9609375,101.5,1
353.2151818,8.572238139,22.36207724,525.2929688,101.9,1
354.2014339,8.872361341,21.90412283,505.9570313,102.2,1
355.2092125,8.839014319,21.95727825,525.2929688,102.5,1
356.2028716,8.338808982,21.92047834,531.7382813,102.9,1
357.2117171,8.405503027,21.55656815,541.40625,103.3,1
358.2041302,8.372156004,21.92456722,518.8476563,103.5,1
359.2130299,8.372156004,21.91638947,557.5195313,103.9,1
360.2099576,8.605585161,21.89185619,522.0703125,104.2,1
361.2194672,8.17207387,21.91230059,528.515625,104.5,1
362.2111731,8.372156004,22.97949791,512.4023437,104.9,1
363.2166572,7.705215555,21.95318937,525.2929688,105.2,1
364.2097216,8.538891117,22.82412052,522.0703125,105.5,1
365.2092545,8.738973251,21.90821171,522.0703125,105.9,1
366.2163024,8.305461959,21.97363377,502.734375,106.2,1
367.209337,8.372156004,21.93683386,499.5117188,106.6,1
368.2138519,8.238767914,22.38661051,509.1796875,106.8,1
369.2112486,8.438850049,21.97363377,522.0703125,107.2,1
370.219332,8.405503027,22.84456491,512.4023437,107.6,1
371.2107184,8.438850049,22.44385481,518.8476563,107.8,1
372.2237465,8.405503027,22.4642992,518.8476563,108.2,1
373.2228379,8.372156004,21.94910049,525.2929688,108.6,1
374.2356102,8.405503027,21.9859004,525.2929688,108.8,1
375.2169092,8.905708364,21.95318937,528.515625,109.2,1
376.2204766,9.239178588,22.43976593,522.0703125,109.6,1
377.2137778,8.472197072,22.44794369,528.515625,109.8,1
378.2131555,8.438850049,22.39069939,528.515625,110.2,1
379.2190478,8.305461959,22.43158817,528.515625,110.6,1
380.2121053,8.472197072,22.42341042,522.0703125,110.8,1
381.2209642,8.472197072,22.45203257,560.7421875,111.1,1
382.2162147,9.739383925,3.217947483,563.9648438,111.5,1
383.2200208,8.438850049,22.44385481,522.0703125,111.8,1
384.2165551,8.605585161,22.31709957,544.6289062,112.1,1
385.2276375,8.738973251,22.03087807,528.515625,112.5,1
