   1.9586877e+02	   3.5167825e+00	   1.9644828e+01	   1.3220114e+01	   5.7741851e+02	   4.4734943e+01	   1.0000000e+00	
   1.9844428e+02	   3.5271554e+00	   1.9689655e+01	   1.3609076e+01	   5.8420747e+02	   4.5310768e+01	   1.0000000e+00	
   2.0103853e+02	   3.5070147e+00	   1.9668966e+01	   1.3505217e+01	   5.7778548e+02	   4.5896945e+01	   1.0000000e+00	
   2.0345424e+02	   3.5158420e+00	   1.9689655e+01	   1.3680352e+01	   5.8956931e+02	   4.6444214e+01	   1.0000000e+00	
   2.0570781e+02	   3.5408131e+00	   1.9686207e+01	   1.3847342e+01	   5.7839710e+02	   4.6961177e+01	   1.0000000e+00	
   2.0800888e+02	   3.5382198e+00	   1.9603448e+01	   1.4142628e+01	   5.7741851e+02	   4.7497901e+01	   1.0000000e+00	
   2.1029642e+02	   3.5368368e+00	   1.9582759e+01	   1.3790321e+01	   5.8108822e+02	   4.8030382e+01	   1.0000000e+00	
   2.1252678e+02	   3.5096655e+00	   1.9668966e+01	   1.3073489e+01	   5.8037466e+02	   4.8529683e+01	   1.0000000e+00	
   2.1478357e+02	   3.5174740e+00	   1.9665517e+01	   1.3130510e+01	   5.7709232e+02	   4.9022490e+01	   1.0000000e+00	
   2.1694456e+02	   3.5613572e+00	   1.9689655e+01	   1.3433941e+01	   5.7796897e+02	   4.9500871e+01	   1.0000000e+00	
   2.1916229e+02	   3.5421385e+00	   1.9665517e+01	   1.3810685e+01	   5.7721464e+02	   5.0004381e+01	   1.0000000e+00	
   2.2137147e+02	   3.5555080e+00	   1.9627586e+01	   1.3159020e+01	   5.7568560e+02	   5.0500888e+01	   1.0000000e+00	
   2.2355780e+02	   3.5540673e+00	   1.9606897e+01	   1.4036732e+01	   5.7966111e+02	   5.0996378e+01	   1.0000000e+00	
   2.2599505e+02	   3.5520504e+00	   1.9686207e+01	   1.3101999e+01	   5.7780587e+02	   5.1547579e+01	   1.0000000e+00	
   2.2817062e+02	   3.5807349e+00	   1.9668966e+01	   1.3407467e+01	   5.7617489e+02	   5.2028188e+01	   1.0000000e+00	
   2.3038690e+02	   3.5788263e+00	   1.9582759e+01	   1.3228259e+01	   5.7988537e+02	   5.2520123e+01	   1.0000000e+00	
   2.3262143e+02	   3.5633453e+00	   1.9689655e+01	   1.3572420e+01	   5.8371817e+02	   5.3019180e+01	   1.0000000e+00	
   2.3486783e+02	   3.5202401e+00	   1.9603448e+01	   1.3696644e+01	   5.8241339e+02	   5.3529657e+01	   1.0000000e+00	
   2.3721944e+02	   3.6379933e+00	   1.9606897e+01	   1.3704790e+01	   5.8638890e+02	   5.4066638e+01	   1.0000000e+00	
   2.3964294e+02	   3.6494980e+00	   1.9762069e+01	   1.3955274e+01	   5.7680690e+02	   5.4625254e+01	   1.0000000e+00	
   2.4196481e+02	   3.5737366e+00	   1.9831034e+01	   1.3609076e+01	   5.7900872e+02	   5.5158594e+01	   1.0000000e+00	
   2.4438066e+02	   3.5845521e+00	   1.9568966e+01	   1.3289353e+01	   5.7770394e+02	   5.5700115e+01	   1.0000000e+00	
   2.4667171e+02	   3.5673216e+00	   1.9637931e+01	   1.4274997e+01	   5.7945724e+02	   5.6226377e+01	   1.0000000e+00	
   2.4912443e+02	   3.0272103e+00	   1.9762069e+01	   1.3635550e+01	   5.7762239e+02	   5.6796850e+01	   1.0000000e+00	
   2.5154853e+02	   3.3936907e+00	   1.9637931e+01	   1.3552056e+01	   5.7409539e+02	   5.7346063e+01	   1.0000000e+00	
   2.5378190e+02	   3.5374995e+00	   1.9731034e+01	   1.4012294e+01	   5.7845826e+02	   5.7859073e+01	   1.0000000e+00	
   2.5600659e+02	   3.5799131e+00	   1.9551724e+01	   1.3301572e+01	   5.7882523e+02	   5.8365449e+01	   1.0000000e+00	
   2.5828484e+02	   3.5113886e+00	   1.9637931e+01	   1.3079598e+01	   5.7815245e+02	   5.8866305e+01	   1.0000000e+00	
   2.6037624e+02	   3.4944231e+00	   1.9734483e+01	   1.2892244e+01	   5.7947763e+02	   5.9318953e+01	   1.0000000e+00	
   2.6261080e+02	   3.5805758e+00	   1.9713793e+01	   1.3114218e+01	   5.8225029e+02	   5.9803226e+01	   1.0000000e+00	
   2.6483966e+02	   3.6101386e+00	   1.9710345e+01	   1.3450233e+01	   5.7768355e+02	   6.0296630e+01	   1.0000000e+00	
   2.6708983e+02	   3.5315351e+00	   1.9775862e+01	   1.3323973e+01	   5.5431977e+02	   6.0798684e+01	   1.0000000e+00	
   2.6929562e+02	   3.6055469e+00	   1.9793103e+01	   1.4081534e+01	   5.1301522e+02	   6.1302442e+01	   1.0000000e+00	
   2.7147877e+02	   3.5686470e+00	   1.9558621e+01	   1.4492898e+01	   5.2006920e+02	   6.1822294e+01	   1.0000000e+00	
   2.7373247e+02	   3.6069639e+00	   1.9744828e+01	   1.3163093e+01	   5.0793879e+02	   6.2341697e+01	   1.0000000e+00	
   2.7597186e+02	   3.5909142e+00	   1.9658621e+01	   1.3254733e+01	   5.0135372e+02	   6.2834694e+01	   1.0000000e+00	
   2.7823866e+02	   3.6844363e+00	   1.9465517e+01	   1.3234369e+01	   4.7833652e+02	   6.3335073e+01	   1.0000000e+00	
   2.8043238e+02	   3.5982884e+00	   1.9644828e+01	   1.3214004e+01	   4.8343333e+02	   6.3818577e+01	   1.0000000e+00	
   2.8272058e+02	   3.5268961e+00	   1.9631034e+01	   1.3560202e+01	   4.7166989e+02	   6.4329116e+01	   1.0000000e+00	
   2.8513132e+02	   3.5813711e+00	   1.9744828e+01	   1.4146700e+01	   4.6416739e+02	   6.4885735e+01	   1.0000000e+00	
   2.8738292e+02	   3.6276285e+00	   1.9572414e+01	   1.2971666e+01	   4.7725600e+02	   6.5394564e+01	   1.0000000e+00	
   2.8968743e+02	   3.6578540e+00	   1.9548276e+01	   1.3769956e+01	   4.5837741e+02	   6.5908118e+01	   1.0000000e+00	
   2.9188776e+02	   3.6229895e+00	   1.9720690e+01	   1.3466525e+01	   5.7348378e+02	   6.6407528e+01	   1.0000000e+00	
   2.9407301e+02	   3.5610126e+00	   1.9562069e+01	   1.3336192e+01	   5.8210758e+02	   6.6895616e+01	   1.0000000e+00	
   2.9630378e+02	   3.4738525e+00	   1.9720690e+01	   1.3975638e+01	   5.7796897e+02	   6.7403336e+01	   1.0000000e+00	
   2.9849368e+02	   3.3817619e+00	   1.9744828e+01	   1.3678316e+01	   5.7800974e+02	   6.7907999e+01	   1.0000000e+00	
   3.0065251e+02	   3.4551423e+00	   1.9734483e+01	   1.4303507e+01	   5.7786703e+02	   6.8411398e+01	   1.0000000e+00	
   3.0302246e+02	   3.5182808e+00	   1.9386207e+01	   1.3199749e+01	   5.7774471e+02	   6.8954576e+01	   1.0000000e+00	
   3.0541144e+02	   3.5076774e+00	   1.9658621e+01	   1.3576493e+01	   5.7805052e+02	   6.9487642e+01	   1.0000000e+00	
   3.0765867e+02	   3.6144537e+00	   1.9724138e+01	   1.3674243e+01	   5.7562444e+02	   6.9997964e+01	   1.0000000e+00	
   3.0982226e+02	   3.6543963e+00	   1.9555172e+01	   1.3714972e+01	   4.7501340e+02	   7.0491789e+01	   1.0000000e+00	
   3.1204731e+02	   3.6342556e+00	   1.9575862e+01	   1.3802540e+01	   4.3189438e+02	   7.1002020e+01	   1.0000000e+00	
   3.1424421e+02	   3.5787684e+00	   1.9668966e+01	   1.3692571e+01	   4.8534973e+02	   7.1505389e+01	   1.0000000e+00	
   3.1661522e+02	   3.6042745e+00	   1.9720690e+01	   1.3291390e+01	   4.6791864e+02	   7.2038549e+01	   1.0000000e+00	
   3.1901575e+02	   3.5780455e+00	   1.9634483e+01	   1.3513363e+01	   4.8384107e+02	   7.2574762e+01	   1.0000000e+00	
   3.2132381e+02	   3.6057589e+00	   1.9741379e+01	   1.3364702e+01	   4.8298481e+02	   7.3091729e+01	   1.0000000e+00	
   3.2359931e+02	   3.5870969e+00	   1.9641379e+01	   1.3953237e+01	   4.8857091e+02	   7.3609746e+01	   1.0000000e+00	
   3.2587567e+02	   3.5958182e+00	   1.9572414e+01	   1.3380994e+01	   4.6969233e+02	   7.4128268e+01	   1.0000000e+00	
   3.2824656e+02	   3.6574506e+00	   1.9720690e+01	   1.3696644e+01	   4.3847946e+02	   7.4663252e+01	   1.0000000e+00	
   3.3052159e+02	   3.6488641e+00	   1.9700000e+01	   1.3619259e+01	   4.5866283e+02	   7.5181123e+01	   1.0000000e+00	
   3.3288244e+02	   3.6100003e+00	   1.9720690e+01	   1.4621194e+01	   5.4465622e+02	   7.5736718e+01	   1.0000000e+00	
   3.3515432e+02	   3.5883694e+00	   1.9734483e+01	   1.3892144e+01	   5.3272968e+02	   7.6276542e+01	   1.0000000e+00	
   3.3739964e+02	   3.5903358e+00	   1.9700000e+01	   1.3892144e+01	   5.3344323e+02	   7.6796415e+01	   1.0000000e+00	
   3.3985643e+02	   3.6495556e+00	   1.9741379e+01	   1.3631477e+01	   5.0396328e+02	   7.7359913e+01	   1.0000000e+00	
   3.4223112e+02	   3.5547300e+00	   1.9741379e+01	   1.3466525e+01	   5.4769392e+02	   7.7896157e+01	   1.0000000e+00	
   3.4444344e+02	   3.5492843e+00	   1.9765517e+01	   1.3214004e+01	   4.9462593e+02	   7.8388039e+01	   1.0000000e+00	
